,high_ast
929,Arpp19
930,Prrc2a
931,Srsf10
932,Fyttd1
933,Ankrd11
934,Arl1
935,Bmpr1a
936,Adipor1
937,Pnn
938,Atp6v1h
939,Immt
940,Atp6v1e1
941,S100a1
942,Rpl18a
943,Ewsr1
944,Ppp3ca
945,Prkacb
946,Aamp
947,Rpl19
948,Itprid2
949,Psmb6
950,Slc27a1
951,Snw1
952,Atp6ap2
953,Fbxo3
954,Cadm1
955,Clta
956,Clip3
957,Pkia
958,Micu2
959,Parva
960,Gas1
961,Hnrnpab
962,Cltc
963,Rpl17
964,Tob1
965,Kcnj10
966,Atp6v1c1
967,Cnih1
968,Esd
969,Pdcd6
970,Dock7
971,Trim35
972,Slc41a1
973,Tmem50b
974,Gnao1
975,Lsm14a
976,Ctxn1
977,Pdpn
978,Klhl5
979,Surf4
980,Hsph1
981,Ggnbp2
982,Thap12
983,Tm7sf3
984,Adcyap1r1
985,Mocs2
986,Cd24a
987,Elob
988,Plekhb2
989,Srsf11
990,Anxa6
991,Hdac2
992,Smarcc2
993,Thbs1
994,Strbp
995,Ppp2r2b
996,Anp32a
997,Cmtm6
998,Bcan
999,Aldh7a1
1000,Dlst
1001,Hectd1
1002,Hnrnpl
1003,Tmco1
1004,Wnk1
1005,Ankrd40
1006,Me1
1007,Etf1
1008,Dnm2
1009,Ndufb10
1010,Usp8
1011,Sem1
1012,Ndst1
1013,Papola
1014,Cox7b
1015,Stx7
1016,Sin3b
1017,Fam120a
1018,Pros1
1019,Pdhb
1020,Sqstm1
1021,Actr2
1022,Pex13
1023,Ncor2
1024,Dvl3
1025,Tram1
1026,Tfg
1027,Rpl34
1028,Sccpdh
1029,Rps20
1030,Mrpl13
1031,Uqcrq
1032,Tnfrsf1a
1033,Gde1
1034,Kidins220
1035,Prkag2
1036,Dnajc8
1037,Tab2
1038,Anxa3
1039,H13
1040,Soat1
1041,Erlin2
1042,Nucks1
1043,Atp2a2
1044,Bnip3l
1045,Psmd8
1046,Fubp1
1047,Psph
1048,Eif1ax
1049,Lims1
1050,Tsn
1051,Psma6
1052,Psmc3
1053,Rps16
1054,Smim14
1055,Pfdn5
1056,Lonp2
1057,Lmo4
1058,Stt3a
